Movie_ID,Title,Release_Date,Release_Year,Genre,Sub_Genre,Language,Country,Director,Production_Company,Budget_USD,Revenue_USD,Runtime_Min,IMDb_Rating,User_Rating,Vote_Count,Popularity_Score,OTT_Platform,OTT_Available,OTT_Release_Date,Content_Type,Age_Rating,Awards_Count,Franchise,Sequel
MV00001,Titanic,2006-09-06,2006,Romance/Drama,Drama,English,USA,James Cameron,20th Century Fox,18925000.0,37117000.0,135,6.8,6.8,1467,60.89,Not Available,No,,Movie,U,1,,No
MV00002,Zindagi Na Milegi Dobara,2019-02-06,2019,Adventure/Comedy,Comedy,Hindi,India,Zoya Akhtar,Excel Entertainment,51953000.0,64696000.0,116,6.1,6.1,13813,60.8,Prime Video,Yes,2020-06-28,Movie,U,0,,No
MV00003,Dangal,2014-09-03,2014,Biography/Drama,Drama,Hindi,India,Nitesh Tiwari,Aamir Khan Productions,61523000.0,317585000.0,98,4.6,4.9,3222,51.17,HBO Max,Yes,2015-02-18,Movie,R,1,,No
MV00004,K.G.F: Chapter 2,2010-09-24,2010,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,37941000.0,160353000.0,72,8.7,8.5,567,68.7,Prime Video,Yes,2010-12-27,Movie,18+,4,K.G.F,Yes
MV00005,Jawan,2007-12-23,2007,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,5637000.0,48809124.0,121,7.1,7.4,477,28.76,Not Available,No,,Movie,16+,1,,No
MV00006,Drishyam,2020-08-26,2020,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,15014000.0,24557000.0,165,4.9,5.0,24179,38.37,ZEE5,Yes,2021-03-06,Movie,U/A,1,,No
MV00007,Lagaan,2006-06-03,2006,Drama/Sport,Sport,Hindi,India,Ashutosh Gowariker,Aamir Khan Productions,65088000.0,1038792000.0,138,7.5,7.3,10570,37.89,Apple TV+,Yes,2006-10-09,Series,U,5,,No
MV00008,Jawan,2025-07-04,2025,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,14168000.0,61252540.0,73,5.1,5.2,694,52.62,Not Available,No,,Movie,U,2,DC Universe,Yes
MV00009,K.G.F: Chapter 2,2018-11-10,2018,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,8913000.0,71922725.0,90,7.4,7.5,1076,34.98,ZEE5,Yes,2019-05-06,Movie,U,4,K.G.F,Yes
MV00010,Jawan,2022-05-24,2022,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,31620000.0,27727000.0,165,5.5,5.6,3054,61.96,Netflix,Yes,2023-04-02,Movie,16+,2,,No
